# generated by analysis/run_ablation.py 20260720T054306Z (git 9b749c0); +20pp protocol, sign-corrected data; 'full' cross-checked byte-identical to committed reports
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
# Initial SOC is clipped to [2%, 98%], so trips starting near a rail receive LESS than the nominal offset; this materially lowers the coulomb baseline's aggregate stress-test RMSE in 23 of 45 dataset×offset cells (e.g. +20 pp: 43% of BMW and 51% of VED trips clipped; clipped-trip coulomb RMSE ~2–12 pp vs ~20 pp unclipped) — a protocol artifact, not estimator skill; medians are far less affected than means. Full grid: results/coulomb_clipping_diagnostic.csv.
dataset,variant,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,conv_rate_strict,rate_recovered,rate_diverged,t_conv_strict_median_s
BMW_i3,full,63,0,17.605584782749176,13.094099976315178,19.880411060181487,17.688479691607025,16.227216818704466,0.07936507936507936,0.06349206349206349,0.8571428571428571,903.1
BMW_i3,coupled_dcal_H,63,0,43.335820697060875,35.28333571669676,52.17083520889204,43.43641532997624,37.009301776987506,0.031746031746031744,0.07936507936507936,0.8888888888888888,1915.5500000000002
BMW_i3,no_corrections,63,0,19.390618819998252,13.035816254197737,19.91043855173473,18.808106510996147,17.891115741504958,0.031746031746031744,0.031746031746031744,0.9365079365079365,744.15
BMW_i3,dR0_only,63,0,18.259796942308594,12.753858891380947,19.893257338794157,18.517549049266446,17.51481353362278,0.06349206349206349,0.07936507936507936,0.8571428571428571,1037.15
BMW_i3,dV_only,63,0,16.860010556983713,12.552870972622038,19.874520101719963,17.440810684029792,15.998377977919152,0.07936507936507936,0.047619047619047616,0.873015873015873,294.6
BMW_i3,const_Q,63,0,19.792513930982874,13.799670978251612,19.93048800243841,19.22596701686336,19.390448148087447,0.031746031746031744,0.06349206349206349,0.9047619047619048,1796.65
BMW_i3,slow_loops_on,63,0,17.605584782749176,13.094099976315178,19.880411060181487,17.688479691607025,16.227216818704466,0.07936507936507936,0.06349206349206349,0.8571428571428571,903.1
BMW_i3,slow_loops_off,63,0,18.02421993860186,12.709421370496397,19.881591912220326,18.28396667579766,17.138617752337577,0.14285714285714285,0.06349206349206349,0.7936507936507936,1012.6
BMW_i3,joseph_form,63,0,17.605586416816408,13.094099976315178,19.880411060181487,17.67145641770262,16.227216833112852,0.07936507936507936,0.06349206349206349,0.8571428571428571,903.1
Deng_BAIC_EU500,full,2000,0,9.283379517088294,5.861742221040492,12.16070794231484,9.69217307590877,6.909609987647708,0.839,0.1225,0.0385,2642.0
Deng_BAIC_EU500,coupled_dcal_H,2000,0,11.005193515704915,6.736255117988518,16.367163371471925,20.952359554407465,7.998189159434798,0.691,0.1085,0.2005,3238.5
Deng_BAIC_EU500,no_corrections,2000,0,7.663611394668098,5.280850930799077,11.92149363233878,9.881299008363216,6.153018298673077,0.8085,0.1605,0.031,2586.0
Deng_BAIC_EU500,dR0_only,2000,0,7.781199613133423,5.508994633901807,11.845327213006753,9.952673126776345,6.415478096323579,0.7935,0.173,0.0335,2730.0
Deng_BAIC_EU500,dV_only,2000,0,9.720843687134844,6.124885049386403,12.431063306027614,9.940865400330228,7.065753770651883,0.845,0.116,0.039,2584.5
Deng_BAIC_EU500,const_Q,2000,0,7.788163146089422,5.476369063058,10.032097324433384,8.662283426175627,5.983750520740268,0.84,0.1195,0.0405,2632.5
Deng_BAIC_EU500,slow_loops_on,2000,0,9.283379517088294,5.861742221040492,12.16070794231484,9.69217307590877,6.909609987647708,0.839,0.1225,0.0385,2642.0
Deng_BAIC_EU500,slow_loops_off,2000,0,9.801643382223531,6.098901675456188,13.067900809843074,10.982194628551579,6.299013966632893,0.8055,0.1515,0.043,1321.0
Deng_BAIC_EU500,joseph_form,2000,0,9.283379496149934,5.861742189217153,12.160707990263631,9.692121707265501,6.909609986613855,0.839,0.1225,0.0385,2642.0
VED,full,408,0,23.978649970719403,11.490505351629652,34.73550994937075,25.7104851712867,22.04081876683847,0.16176470588235295,0.10784313725490197,0.7303921568627451,138.7
VED,coupled_dcal_H,408,0,47.585779746700325,21.436185496199215,64.1926549512753,44.421313844829044,47.08663246348053,0.0392156862745098,0.031862745098039214,0.928921568627451,386.2
VED,no_corrections,408,0,20.740068603809796,8.969433423206286,32.641984971642486,23.289132275193307,19.404550601020137,0.18382352941176472,0.1053921568627451,0.7107843137254902,140.0
VED,dR0_only,408,0,18.95756314680751,8.757248795420747,32.610217445411855,22.79413135932446,18.215434589575473,0.18872549019607843,0.09803921568627451,0.7132352941176471,112.0
VED,dV_only,408,0,22.22447039336223,7.53791947729588,32.64601214659653,23.359298894497737,21.260218854826945,0.16666666666666666,0.10294117647058823,0.7303921568627451,0.0
VED,const_Q,408,0,21.401112791581014,10.994496087116643,40.862855761248824,28.25431115988093,21.11998979925802,0.14705882352941177,0.07352941176470588,0.7794117647058824,209.14999999999998
VED,slow_loops_on,408,0,23.978649970719403,11.490505351629652,34.73550994937075,25.7104851712867,22.04081876683847,0.16176470588235295,0.10784313725490197,0.7303921568627451,138.7
VED,slow_loops_off,408,0,18.40880431091177,6.835044324099341,31.23858740130961,21.75173500586098,16.92028289515108,0.2034313725490196,0.12745098039215685,0.6691176470588235,46.6
VED,joseph_form,408,0,24.015455229917638,11.279723799892555,34.52438170337236,25.54325275883721,22.5398997284914,0.14705882352941177,0.11029411764705882,0.7426470588235294,0.1
CALCE_A123,full,26,0,31.704197880461972,18.50601283027794,61.3989190479368,38.27924479661326,28.05930599224444,0.2692307692307692,0.038461538461538464,0.6923076923076923,918.0314589158661
CALCE_A123,coupled_dcal_H,26,0,30.94039699423324,24.753941048157348,43.37556650084393,34.32872669137882,26.428627108988557,0.23076923076923078,0.038461538461538464,0.7307692307692307,1647.3345970308756
CALCE_A123,no_corrections,26,0,29.087974739316756,18.755911941422124,42.13900302493045,33.53467833148723,26.594802366029747,0.23076923076923078,0.11538461538461539,0.6538461538461539,1036.990732724169
CALCE_A123,dR0_only,26,0,34.67564936043503,22.637281574565165,47.939545062417864,37.931259832878546,30.31122358689584,0.23076923076923078,0.038461538461538464,0.7307692307692307,835.986954560627
CALCE_A123,dV_only,26,0,28.687965730762997,20.048369848704834,45.30118098079559,35.239209111909595,26.59507352739088,0.2692307692307692,0.07692307692307693,0.6538461538461539,1207.4964196952933
CALCE_A123,const_Q,26,0,29.59725584027351,19.99711770351171,56.83883970130857,38.78840450968284,26.59906469794752,0.3076923076923077,0.11538461538461539,0.5769230769230769,1097.8101223346357
CALCE_A123,slow_loops_on,26,0,37.49259064116994,21.627370838625325,61.584327830787785,40.35782211604452,31.648579110311537,0.2692307692307692,0.038461538461538464,0.6923076923076923,918.0314589158661
CALCE_A123,slow_loops_off,26,0,35.46871099746799,20.79619849152299,60.81913175443127,39.74502360219373,34.532759130885054,0.3076923076923077,0.038461538461538464,0.6538461538461539,1097.8101223346357
CALCE_A123,joseph_form,26,0,34.76391188224257,20.939756686534764,61.39896185019934,39.10801785397395,29.704657303221154,0.3076923076923077,0.038461538461538464,0.6538461538461539,1097.8101223346357
Parallel_Module,full,216,0,16.893490459749884,6.807030653757741,21.17474853795755,15.412460414771852,16.482415103884332,0.26851851851851855,0.08796296296296297,0.6435185185185185,0.0
Parallel_Module,coupled_dcal_H,216,0,16.57739621513945,9.018488792415605,30.29708886517703,21.76727382295826,16.26990434328063,0.23148148148148148,0.13425925925925927,0.6342592592592593,177.5
Parallel_Module,no_corrections,216,0,16.447973992326386,5.951395111681792,21.65813445645947,15.483245478465774,16.211274735466546,0.25,0.11574074074074074,0.6342592592592593,0.0
Parallel_Module,dR0_only,216,0,16.816630850422353,5.519543756690894,21.11924904505212,15.335859526925153,16.67983454826161,0.2777777777777778,0.07407407407407407,0.6481481481481481,0.0
Parallel_Module,dV_only,216,0,16.621245762471087,4.953821662002696,22.05048872372391,15.481510861124143,16.33999129923106,0.2638888888888889,0.09259259259259259,0.6435185185185185,0.0
Parallel_Module,const_Q,216,0,18.175845881223303,9.957089413734774,28.97251066834791,21.58167794460591,17.849590439221366,0.20833333333333334,0.07407407407407407,0.7175925925925926,0.0
Parallel_Module,slow_loops_on,216,0,16.698994900745756,6.638489256829111,21.141272670519413,15.380224832678731,16.482415103884332,0.26851851851851855,0.08796296296296297,0.6435185185185185,0.0
Parallel_Module,slow_loops_off,216,0,17.050458752510266,6.82726441494712,21.23648185417167,15.423358070746682,16.902922985505057,0.25925925925925924,0.08333333333333333,0.6574074074074074,0.0
Parallel_Module,joseph_form,216,0,16.893490459749884,6.805669723992119,21.174748539862943,15.424499483091859,16.604452253187077,0.2638888888888889,0.08796296296296297,0.6481481481481481,0.0
